iteration=1
( N, 0, 2, R, 50):STAY=[-10.000]
( N, 0, 2, D, 50):STAY=[-6.800]
( E, 0, 2, R, 50):STAY=[-20.000]
( E, 0, 2, D, 50):HIT=[0.000]
( S, 0, 2, R, 50):STAY=[-4.250]
( S, 0, 2, D, 50):STAY=[0.000]
( W, 0, 2, R, 50):STAY=[0.000]
( W, 0, 2, D, 50):STAY=[0.000]
( C, 1, 2, R, 50):STAY=[-24.250]
( C, 1, 2, D, 50):STAY=[0.000]
( N, 1, 2, R, 50):CRAFT=[-10.000]
( N, 1, 2, D, 50):STAY=[-6.800]
( E, 1, 2, R, 50):STAY=[-20.000]
( E, 1, 2, D, 50):HIT=[0.000]
( S, 1, 2, R, 50):STAY=[-4.250]
( S, 1, 2, D, 50):STAY=[0.000]
( W, 1, 2, R, 50):STAY=[0.000]
( W, 1, 2, D, 50):STAY=[0.000]
( C, 2, 2, R, 50):STAY=[-24.250]
( C, 2, 2, D, 50):STAY=[0.000]
( N, 2, 2, R, 50):CRAFT=[-10.000]
( N, 2, 2, D, 50):STAY=[-6.800]
( E, 2, 2, R, 50):STAY=[-20.000]
( E, 2, 2, D, 50):HIT=[0.000]
( S, 2, 2, R, 50):STAY=[-4.250]
( S, 2, 2, D, 50):STAY=[0.000]
( W, 2, 2, R, 50):STAY=[0.000]
( W, 2, 2, D, 50):STAY=[0.000]
( C, 0, 3, R, 50):STAY=[-24.250]
( C, 0, 3, D, 50):STAY=[0.000]
( N, 0, 3, R, 50):STAY=[-10.000]
( N, 0, 3, D, 50):STAY=[-6.800]
( E, 0, 3, R, 50):STAY=[-20.000]
( E, 0, 3, D, 50):HIT=[0.000]
( S, 0, 3, R, 50):STAY=[-4.250]
( S, 0, 3, D, 50):STAY=[0.000]
( W, 0, 3, R, 50):STAY=[0.000]
( W, 0, 3, D, 50):STAY=[0.000]
( C, 1, 3, R, 50):STAY=[-24.250]
( C, 1, 3, D, 50):STAY=[0.000]
( N, 1, 3, R, 50):CRAFT=[-10.000]
( N, 1, 3, D, 50):STAY=[-6.800]
( E, 1, 3, R, 50):STAY=[-20.000]
( E, 1, 3, D, 50):HIT=[0.000]
( S, 1, 3, R, 50):STAY=[-4.250]
( S, 1, 3, D, 50):STAY=[0.000]
( W, 1, 3, R, 50):STAY=[0.000]
( W, 1, 3, D, 50):STAY=[0.000]
( C, 2, 3, R, 50):STAY=[-24.250]
( C, 2, 3, D, 50):STAY=[0.000]
